Marca temporal,¿Cuál es tu rango de edad?,¿Cuál es tu rango de ingreso mensual?,¿Cuántas aplicaciones bancarias o financieras utilizas activamente?,¿Conoces qué es una fintech?,¿Qué tipo de instituciones financiera utilizas con mayor frecuencia?,¿Cuáles Fintechs utilizas? (Selección múltiple),"Si utilizas fintechs, ¿qué te preocupa de usarlas? (Selección múltiple)",¿Dirías que prefieres Fintechs sobre Bancos tradicionales?,"Si la anterior pregunta fue que tienes usos diferentes para Fintechs y Bancos Tradicionales responde que usos si no, escribe NA. ","Si has utilizado tanto Fintechs como bancos tradicionales, ¿qué factor influyó MÁS en tu preferencia?","¿Qué tan difícil te resulta completar una transacción típica (transferencia, pago de servicio) en tu app bancaria principal?","Pensando en la última vez que usaste tu app bancaria, ¿qué fue lo que más te FRUSTRÓ? (Selección múltiple)",Y ¿qué fue lo que más te GUSTÓ? (Selección múltiple),"Cuando tienes un problema con tu banco, ¿qué tipo de atención prefieres?",¿Qué tanto confías en tu institución financiera principal para manejar tu dinero y datos personales?,"¿Has tenido alguna vez una preocupación de seguridad con una institución financiera? Si fue así, ¿qué la causó? (Selección múltiple)",¿Cuál es tu banco principal?,¿Qué te haría cambiar de banco? (Selección múltiple),"¿Qué tipo de beneficios valoras más de tu banco? (Selección múltiple, máximo 3)",¿Qué tan importante es para ti tener acceso fácil a sucursales físicas?
26/4/2026 13:49:43,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,Ninguno,No utilizo,No,NA,NA,2,Tiempos de carga,Nada en particular,Atención humana,3,No he tenido ningún problema,BBVA,Recomendación cercana,Ninguno,3
26/4/2026 13:56:47,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,Mercado pago,"Falta de sucursales físicas, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",No,NA,Comisiones bajas,1,Nada me frustró,Recompensas o cashback,Atención humana,5,No he tenido ningún problema,Santander,"Comisiones más bajas, Recompensas más atractivas, Mejores tasas","Sin comisiones, Tasas de rendimiento",3
26/4/2026 14:09:58,18-25,"$10,000MXN–$20,000MXN",2,Si,Ambos,Nu (Nu Bank),"Seguridad de mi dinero, Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,"Para los bancos tradicionales utilizó para retiros , créditos y trámites , y los fintech por los beneficios de sus intereses y para débito ",Recompensas,2,"Tiempos de carga, Errores o caídas, Difícil encontrar funciones","Velocidad, Diseño y facilidad de uso, Notificaciones útiles",Depende del tipo de problema,4,No he tenido ningún problema,BBVA,"Recompensas más atractivas, Recomendación cercana","Cashback, Beneficios de viaje, Tasas de rendimiento",1
26/4/2026 14:20:23,18-25,"$10,000MXN–$20,000MXN",1,Si,Banca tradicional,"Nu (Nu Bank), Rappi Card","Seguridad de mi dinero, Riesgo tecnológico (caídas, hackeos)",No,NA,Confianza institucional,2,"Procesos con muchos pasos, Difícil encontrar funciones","Velocidad, Notificaciones útiles, Seguridad (biometría, alertas)",Atención humana,3,Mal soporte ante un problema,BBVA,"Comisiones más bajas, Mejor atención","Acceso anticipado a productos, Descuentos en comercios",4
26/4/2026 14:31:25,18-25,"Menos de $10,000 MXN",1,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,"Seguridad de mi dinero, Falta de sucursales físicas, Regulación o respaldo institucional (IPAB)",No,NA,NA,1,"Tiempos de carga, Procesos con muchos pasos, Difícil encontrar funciones",Diseño y facilidad de uso,Atención humana,5,No he tenido ningún problema,BBVA,"Comisiones más bajas, Recompensas más atractivas, Mejores tasas","Puntos canjeables, Descuentos en comercios, Sin comisiones",5
26/4/2026 14:52:36,18-25,"Menos de $10,000 MXN",2,No,Banca tradicional,"Mercado pago, Spin by Oxxo","Seguridad de mi dinero, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",No,NA,Rápidez,3,Difícil encontrar funciones,Funciones disponibles,Depende del tipo de problema,2,Fuga o uso indebido de datos,BBVA,"Recompensas más atractivas, Recomendación cercana, Mejores tasas, Mala experiencia con mi banco actual",Ninguno,5
26/4/2026 14:59:41,18-25,"$20,000MXN–$50,000MXN",1,He escuchado el término pero no estoy seguro,Ambos,"Nu (Nu Bank), Hey Banco","Seguridad de mi dinero, Falta de sucursales físicas, Riesgo tecnológico (caídas, hackeos)",No,NA,Rápidez,2,"Errores o caídas, Login o autenticación, Soporte difícil de contactar","Notificaciones útiles, Seguridad (biometría, alertas)",Asistente AI o chatbot,3,Fuga o uso indebido de datos,BBVA,Mala experiencia con mi banco actual,"Cashback, Beneficios de viaje",5
26/4/2026 15:55:54,18-25,"$10,000MXN–$20,000MXN",2,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,"Seguridad de mi dinero, Falta de sucursales físicas, Soporte limitado, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",No,NA,NA,1,Tiempos de carga,"Seguridad (biometría, alertas)",Atención humana,4,No he tenido ningún problema,Banorte,"Comisiones más bajas, Mejor atención, Mejores tasas, Mala experiencia con mi banco actual","Sin comisiones, Tasas de rendimiento",5
26/4/2026 16:30:09,18-25,"Menos de $10,000 MXN",2,No,Banca tradicional,Nu (Nu Bank),"Falta de sucursales físicas, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,NA,Recompensas,1,"Errores o caídas, Difícil encontrar funciones","Velocidad, Diseño y facilidad de uso",Depende del tipo de problema,5,Mal soporte ante un problema,BBVA,"Comisiones más bajas, Recompensas más atractivas, Recomendación cercana, Mala experiencia con mi banco actual","Cashback, Acceso anticipado a productos, Descuentos en comercios",5
26/4/2026 18:07:14,26-40,"$20,000MXN–$50,000MXN",4 o más,Si,Fintechs,"Nu (Nu Bank), Plata, GBM",Ninguna,Tengo usos diferentes para Fintechs y Bancos Tradicionales,"Tradicionales para recibir nómina, las demás para recibir rendimientos ",Rápidez,2,"Tiempos de carga, Difícil encontrar funciones, Soporte difícil de contactar",Nada en particular,Depende del tipo de problema,3,No he tenido ningún problema,BBVA,"Recompensas más atractivas, Mejores tasas","Cashback, Tasas de rendimiento",2
26/4/2026 19:02:14,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,Ninguno,Ninguna,No,NA,NA,3,"Procesos con muchos pasos, Difícil encontrar funciones, Soporte difícil de contactar","Velocidad, Seguridad (biometría, alertas)",Atención humana,3,Fraude o cargo no autorizado,BBVA,"Recomendación cercana, Mala experiencia con mi banco actual",Sin comisiones,5
26/4/2026 20:13:24,56+,"Más de $50,000MXN",4 o más,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,Seguridad de mi dinero,No,NA,NA,1,Tiempos de carga,Diseño y facilidad de uso,Atención humana,3,Fraude o cargo no autorizado,BBVA,"Comisiones más bajas, Mejor atención, Recompensas más atractivas",Puntos canjeables,5
27/4/2026 0:09:17,18-25,"$10,000MXN–$20,000MXN",1,He escuchado el término pero no estoy seguro,Banca tradicional,"Nu (Nu Bank), Mercado pago",Regulación o respaldo institucional (IPAB),Tengo usos diferentes para Fintechs y Bancos Tradicionales,NA,Rápidez,4,Difícil encontrar funciones,Funciones disponibles,Atención humana,3,Mal soporte ante un problema,BBVA,Mejores tasas,Sin comisiones,3
27/4/2026 11:18:27,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,Ninguno,Ninguna,No,Tradicionales,Rápidez,1,"Procesos con muchos pasos, Nada me frustró","Velocidad, Diseño y facilidad de uso",Atención humana,4,No he tenido ningún problema,BBVA,Mejores tasas,"Cashback, Beneficios de viaje, Tasas de rendimiento",3
27/4/2026 17:11:07,41-55,"Más de $50,000MXN",3,Si,Banca tradicional,Ninguno,Ninguna,No,Na,Confianza institucional,1,"Errores o caídas, Nada me frustró","Diseño y facilidad de uso, Notificaciones útiles, Seguridad (biometría, alertas), Recompensas o cashback",Atención humana,4,No he tenido ningún problema,Inbursa,Mala experiencia con mi banco actual,Ninguno,5
27/4/2026 17:17:23,26-40,"Menos de $10,000 MXN",2,Si,Ambos,"Nu (Nu Bank), Mercado pago",Seguridad de mi dinero,Si,N/A,Rápidez,4,Procesos con muchos pasos,"Diseño y facilidad de uso, Funciones disponibles, Notificaciones útiles, Seguridad (biometría, alertas)",Atención humana,3,Mal soporte ante un problema,BBVA,"Mejor app, Mejor atención, Recompensas más atractivas",Ninguno,5
27/4/2026 17:22:21,26-40,"$20,000MXN–$50,000MXN",4 o más,No,Ambos,Nu (Nu Bank),"Seguridad de mi dinero, Falta de sucursales físicas",Tengo usos diferentes para Fintechs y Bancos Tradicionales,"Fintech es de ahorro , banca normal para pagos ",Comisiones bajas,2,Nada me frustró,"Diseño y facilidad de uso, Seguridad (biometría, alertas)",Atención humana,3,Fraude o cargo no autorizado,Santander,"Comisiones más bajas, Mejor app, Mejor atención, Recompensas más atractivas, Mejores tasas, Mala experiencia con mi banco actual","Cashback, Sin comisiones, Tasas de rendimiento",4
27/4/2026 17:24:02,41-55,"Menos de $10,000 MXN",2,Si,Ambos,"Nu (Nu Bank), Mercado pago",Soporte limitado,No,NA,Experiencia,1,Nada me frustró,Diseño y facilidad de uso,Atención humana,5,No he tenido ningún problema,Banamex,"Comisiones más bajas, Mejor atención, Recompensas más atractivas, Mejores tasas","Acceso anticipado a productos, Descuentos en comercios, Sin comisiones",4
27/4/2026 17:28:34,26-40,"$20,000MXN–$50,000MXN",4 o más,Si,Banca tradicional,"Nu (Nu Bank), Mercado pago","Seguridad de mi dinero, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,Solo ocupo fintechs para las promociones o rendimiento,Confianza institucional,1,Errores o caídas,Velocidad,Depende del tipo de problema,3,Mal soporte ante un problema,BBVA,Mejor app,"Cashback, Puntos canjeables, Descuentos en comercios",5
27/4/2026 17:37:01,26-40,"Más de $50,000MXN",3,Si,Ambos,"Nu (Nu Bank), Mercado pago",Ninguna,No,NA,Rápidez,1,Nada me frustró,Velocidad,Depende del tipo de problema,4,Mal soporte ante un problema,Santander,Mala experiencia con mi banco actual,"Acceso anticipado a productos, Descuentos en comercios, Meses sin intereses ",2
27/4/2026 17:44:55,26-40,"$20,000MXN–$50,000MXN",3,No,Ambos,"Nu (Nu Bank), Mercado pago",Falta de sucursales físicas,Tengo usos diferentes para Fintechs y Bancos Tradicionales,Nu es dónde ahorro y está en crecimiento mi dinero ,Atención al cliente,1,Nada me frustró,"Velocidad, Diseño y facilidad de uso, Funciones disponibles, Notificaciones útiles, Seguridad (biometría, alertas)",Atención humana,3,Fraude o cargo no autorizado,BBVA,"Recompensas más atractivas, Mejores tasas","Cashback, Puntos canjeables, Sin comisiones",5
27/4/2026 19:20:05,26-40,"$20,000MXN–$50,000MXN",4 o más,Si,Ambos,"Nu (Nu Bank), Hey Banco, Mercado pago, Klar, Stori, Rappi Card, Spin by Oxxo, Kueski Pay","Seguridad de mi dinero, Falta de sucursales físicas, Soporte limitado, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos), Atención al cliente decadente",Tengo usos diferentes para Fintechs y Bancos Tradicionales,"Pagos rápidos fintech, pagos de cantidades grandes banca tradicional ",Comisiones bajas,3,"Errores o caídas, Soporte difícil de contactar","Notificaciones útiles, Seguridad (biometría, alertas), Recompensas o cashback",Atención humana,4,Fraude o cargo no autorizado,Banorte,"Comisiones más bajas, Mejor atención, Recompensas más atractivas, Recomendación cercana, Mejores tasas, Mala experiencia con mi banco actual","Cashback, Descuentos en comercios, Sin comisiones",5
27/4/2026 21:24:47,41-55,"$20,000MXN–$50,000MXN",2,No,Banca tradicional,Ninguno,"Falta de sucursales físicas, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",No,NA,NA,1,Errores o caídas,"Velocidad, Diseño y facilidad de uso, Funciones disponibles, Notificaciones útiles, Seguridad (biometría, alertas)",Atención humana,4,Fraude o cargo no autorizado,Banorte,"Comisiones más bajas, Mejor app, Recompensas más atractivas",Descuentos en comercios,4
28/4/2026 7:45:19,26-40,"Más de $50,000MXN",3,Si,Fintechs,Mercado pago,"Seguridad de mi dinero, Falta de sucursales físicas, Soporte limitado, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",Si,NA,Comisiones bajas,3,"Tiempos de carga, Procesos con muchos pasos, Errores o caídas, Soporte difícil de contactar","Velocidad, Diseño y facilidad de uso, Funciones disponibles, Notificaciones útiles, Seguridad (biometría, alertas), Recompensas o cashback",Depende del tipo de problema,3,Fraude o cargo no autorizado,Santander,"Comisiones más bajas, Mejor app, Mejor atención, Recompensas más atractivas, Recomendación cercana, Mejores tasas","Cashback, Descuentos en comercios, Beneficios de viaje",4
28/4/2026 7:48:51,41-55,"$20,000MXN–$50,000MXN",4 o más,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,Ninguna,No,NA,Ninguno,1,Nada me frustró,"Seguridad (biometría, alertas)",Depende del tipo de problema,4,Fraude o cargo no autorizado,BBVA,Recompensas más atractivas,Cashback,3
28/4/2026 8:23:38,41-55,"$20,000MXN–$50,000MXN",1,No,Banca tradicional,"Rappi Card, Spin by Oxxo",Falta de sucursales físicas,Si,NA,Rápidez,2,Errores o caídas,Nada en particular,Atención humana,2,Fraude o cargo no autorizado,BBVA,Comisiones más bajas,Sin comisiones,1
28/4/2026 8:35:37,18-25,"Menos de $10,000 MXN",2,No,Banca tradicional,Ninguno,Ninguna,No,NA,nada,1,"Tiempos de carga, Errores o caídas","Diseño y facilidad de uso, Notificaciones útiles, Seguridad (biometría, alertas)",Atención humana,4,No he tenido ningún problema,BBVA,"Mejor app, Recompensas más atractivas, Recomendación cercana",Ninguno,3
28/4/2026 8:35:56,41-55,"Más de $50,000MXN",4 o más,Si,Banca tradicional,Ninguno,"Falta de sucursales físicas, Soporte limitado, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",No,Ma,Rápidez,1,Nada me frustró,"Velocidad, Funciones disponibles, Notificaciones útiles, Seguridad (biometría, alertas)",Atención humana,4,No he tenido ningún problema,Banorte,"Recompensas más atractivas, Mejores tasas, Mala experiencia con mi banco actual","Puntos canjeables, Descuentos en comercios, Beneficios de viaje",5
28/4/2026 8:38:34,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,Ninguno,Ninguna,No,NA,Confianza institucional,1,Nada me frustró,Nada en particular,Depende del tipo de problema,4,No he tenido ningún problema,BBVA,"Recomendación cercana, Mala experiencia con mi banco actual",Ninguno,4
28/4/2026 8:38:48,41-55,"$10,000MXN–$20,000MXN",2,No,Banca tradicional,Ninguno,Seguridad de mi dinero,No,NA,Ninguno ,2,"Tiempos de carga, Errores o caídas","Diseño y facilidad de uso, Funciones disponibles",Atención humana,3,Fraude o cargo no autorizado,Banorte,"Comisiones más bajas, Mejor app","Beneficios de viaje, Sin comisiones, Tasas de rendimiento",3
28/4/2026 8:39:24,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,Ninguno,Ninguna,No,N/A,Comisiones bajas,1,"Tiempos de carga, Errores o caídas, Login o autenticación","Funciones disponibles, Notificaciones útiles, Seguridad (biometría, alertas)",Depende del tipo de problema,3,No he tenido ningún problema,BBVA,"Mejor app, Recompensas más atractivas",Ninguno,5
28/4/2026 8:45:26,18-25,"Menos de $10,000 MXN",1,No,Banca tradicional,Ninguno,Ninguna,No,N/A,Rápidez,1,Tiempos de carga,Velocidad,Atención humana,1,Fraude o cargo no autorizado,BBVA,Recompensas más atractivas,Puntos canjeables,5
28/4/2026 8:49:08,18-25,"Menos de $10,000 MXN",3,Si,Fintechs,"Nu (Nu Bank), Klar","Seguridad de mi dinero, Falta de sucursales físicas, Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,banca tradicional para retiros en efectivo y fintechs para inversión o crédito ,Rápidez,5,Difícil encontrar funciones,"Seguridad (biometría, alertas)",Atención humana,3,No he tenido ningún problema,BBVA,"Mejor app, Recompensas más atractivas","Cashback, Sin comisiones, Tasas de rendimiento",4
28/4/2026 8:51:56,41-55,"Más de $50,000MXN",3,No,Banca tradicional,Ninguno,Ninguna,No,Desconozco del tema ,Desconozco ,2,Procesos con muchos pasos,Nada en particular,Depende del tipo de problema,3,Fraude o cargo no autorizado,BBVA,"Comisiones más bajas, Costo beneficio entre seguridad y rendimiento ",Seguridad y rendimiento ,5
28/4/2026 8:54:54,56+,"$20,000MXN–$50,000MXN",2,Si,Banca tradicional,Ninguno,Ninguna,No,N/A,No uso fintechs,1,Nada me frustró,Diseño y facilidad de uso,Atención humana,5,No he tenido ningún problema,Banco Azteca,Recompensas más atractivas,Ninguno,5
28/4/2026 8:56:27,18-25,"Menos de $10,000 MXN",2,No,Banca tradicional,Ninguno,Seguridad de mi dinero,No,NA,Confianza institucional,1,Procesos con muchos pasos,"Seguridad (biometría, alertas)",Atención humana,5,Fraude o cargo no autorizado,BBVA,Recompensas más atractivas,Beneficios de viaje,5
28/4/2026 9:06:42,18-25,"Menos de $10,000 MXN",2,He escuchado el término pero no estoy seguro,Banca tradicional,Rappi Card,"Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,Rappi Card la utilizo solo para pedir comida ,Confianza institucional,2,Errores o caídas,"Seguridad (biometría, alertas)",Atención humana,3,Fraude o cargo no autorizado,BBVA,Recompensas más atractivas,"Cashback, Puntos canjeables, Sin comisiones",3
28/4/2026 9:38:47,18-25,"Menos de $10,000 MXN",2,No,Banca tradicional,Nu (Nu Bank),"Seguridad de mi dinero, Riesgo tecnológico (caídas, hackeos)",Si,Na,Recompensas,1,Nada me frustró,Nada en particular,Depende del tipo de problema,4,Fraude o cargo no autorizado,BBVA,"Mejor app, Mejor atención, Recompensas más atractivas","Sin comisiones, Ninguno",3
28/4/2026 11:45:40,41-55,"Menos de $10,000 MXN",1,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,"Seguridad de mi dinero, Riesgo tecnológico (caídas, hackeos)",Si,Na ,Confianza institucional,5,"Procesos con muchos pasos, ",Nada en particular,Atención humana,1,No he tenido ningún problema,BBVA,Recomendación cercana,"Ninguno, ",2
28/4/2026 13:40:04,41-55,"$20,000MXN–$50,000MXN",2,Si,Banca tradicional,Mercado pago,Ninguna,No,Na,Rápidez,2,Nada me frustró,Velocidad,Atención humana,5,Fraude o cargo no autorizado,BBVA,Mejores tasas,Ninguno,3
28/4/2026 15:29:09,18-25,"Menos de $10,000 MXN",1,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,Ninguna,No,NA,No uso,1,Difícil encontrar funciones,"Velocidad, Seguridad (biometría, alertas)",Atención humana,4,No he tenido ningún problema,Banamex,"Recompensas más atractivas, Mejores tasas, Mala experiencia con mi banco actual","Cashback, Acceso anticipado a productos, Descuentos en comercios",5
28/4/2026 17:47:37,18-25,"Menos de $10,000 MXN",1,He escuchado el término pero no estoy seguro,Banca tradicional,Nu (Nu Bank),"Falta de sucursales físicas, Regulación o respaldo institucional (IPAB), Riesgo tecnológico (caídas, hackeos)",No,NA,Comisiones bajas,1,Nada me frustró,Diseño y facilidad de uso,Atención humana,5,Fraude o cargo no autorizado,BBVA,"Comisiones más bajas, Recompensas más atractivas",Ninguno,4
28/4/2026 19:25:25,18-25,Prefiero no decir,1,He escuchado el término pero no estoy seguro,Banca tradicional,Ninguno,"Seguridad de mi dinero, Falta de sucursales físicas, Regulación o respaldo institucional (IPAB)",No,NA,Confianza institucional,2,Login o autenticación,"Velocidad, Diseño y facilidad de uso, Funciones disponibles, Recompensas o cashback",Atención humana,4,No he tenido ningún problema,BBVA,"Recompensas más atractivas, Recomendación cercana, Mejores tasas","Cashback, Puntos canjeables",4
28/4/2026 22:02:39,41-55,"$20,000MXN–$50,000MXN",2,Si,Ambos,"Nu (Nu Bank), Mercado pago",Ninguna,Tengo usos diferentes para Fintechs y Bancos Tradicionales,"La fintechs las uso para manejar cantidades pequeñas de dinero por las tasas que manejan. Y tarjeta de crédito. Mis operaciones de transferencias, pagos las hago en banca tradicional. ",Comisiones bajas,1,Nada me frustró,"Velocidad, Diseño y facilidad de uso, Seguridad (biometría, alertas)",Atención humana,5,El uso de contraseña para acceder al audiomatico,Banamex,Mala experiencia con mi banco actual,Sin comisiones,2
28/4/2026 22:07:43,41-55,"$20,000MXN–$50,000MXN",3,No,Banca tradicional,Mercado pago,"Seguridad de mi dinero, Riesgo tecnológico (caídas, hackeos)",No,N/A,Rápidez,1,Tiempos de carga,Velocidad,Atención humana,4,Fraude o cargo no autorizado,Scotiabank,"Comisiones más bajas, Mejor app, Recompensas más atractivas, Mejores tasas","Puntos canjeables, Sin comisiones",5
28/4/2026 22:11:57,41-55,"$20,000MXN–$50,000MXN",2,No,Banca tradicional,Spin by Oxxo,Seguridad de mi dinero,No,na,Comisiones bajas,1,Nada me frustró,"Seguridad (biometría, alertas)",Atención humana,5,No he tenido ningún problema,Banamex,Mala experiencia con mi banco actual,"resolución inmediata, amabilidad, cercanía hasta en los pueblitos lejanos",5
29/4/2026 5:20:21,41-55,"Más de $50,000MXN",3,No,Banca tradicional,"Mercado pago, Rappi Card","Seguridad de mi dinero, Riesgo tecnológico (caídas, hackeos)",Tengo usos diferentes para Fintechs y Bancos Tradicionales,Compras en páginas por internet ,Falta de seguridad en páginas ,3,Nada me frustró,"Seguridad (biometría, alertas), Recompensas o cashback",Atención humana,4,Fraude o cargo no autorizado,"INVEX, Banjercito ","Comisiones más bajas, Recompensas más atractivas","Cashback, Puntos canjeables, Beneficios de viaje",5
